SeasonDef,NorthTatooine_Winter,01/01,01/03,985,1010,True
SeasonDef,NorthTatooine_Spring,02/03,31/05,995,1020,False
SeasonDef,NorthTatooine_Summer,01/06,31/08,1000,1025,False
SeasonDef,NorthTatooine_Autumn,01/09,31/12,990,1010,True
SeasonDef,StandardTatooine_Winter,01/01,01/03,1000,1020,True
SeasonDef,StandardTatooine_Spring,02/03,31/05,1005,1030,False
SeasonDef,StandardTatooine_Summer,01/06,31/08,1015,1035,False
SeasonDef,StandardTatooine_Autumn,01/09,31/12,1005,1020,True
SeasonDef,StandardCoruscant_Winter,01/01,01/03,970,1000,True
SeasonDef,StandardCoruscant_Spring,02/03,31/05,985,1015,False
SeasonDef,StandardCoruscant_Summer,01/06,31/08,985,1020,False
SeasonDef,StandardCoruscant_Autumn,01/09,31/12,975,1005,True
Region,Coruscant,6001,3022,coruscant.jpeg,tatooine_watermap.txt
City,Mirin City,736,1265,100
AddSeason,StandardCoruscant_Winter
AddSeason,StandardCoruscant_Spring
AddSeason,StandardCoruscant_Summer
AddSeason,StandardCoruscant_Autumn
01/06/0280,13,23
02/06/0280,13,23
03/06/0280,13,23
04/06/0280,14,23
05/06/0280,14,23
06/06/0280,14,23
07/06/0280,14,23
08/06/0280,14,23
09/06/0280,14,23
10/06/0280,14,23
11/06/0280,15,24
12/06/0280,15,24
13/06/0280,15,24
14/06/0280,15,24
15/06/0280,15,24
16/06/0280,15,24
17/06/0280,15,24
18/06/0280,15,24
19/06/0280,15,24
20/06/0280,15,24
21/06/0280,16,24
22/06/0280,16,24
23/06/0280,16,24
24/06/0280,16,25
25/06/0280,16,25
26/06/0280,16,25
27/06/0280,16,25
28/06/0280,16,25
29/06/0280,16,25
30/06/0280,16,25
01/07/0280,17,25
02/07/0280,17,25
03/07/0280,17,25
04/07/0280,17,25
05/07/0280,17,25
06/07/0280,17,25
07/07/0280,17,25
08/07/0280,17,25
09/07/0280,17,25
10/07/0280,17,25
11/07/0280,17,25
12/07/0280,17,25
13/07/0280,17,26
14/07/0280,17,26
15/07/0280,18,26
16/07/0280,18,26
17/07/0280,18,26
18/07/0280,18,26
19/07/0280,18,26
20/07/0280,18,26
21/07/0280,18,26
22/07/0280,18,26
23/07/0280,18,27
24/07/0280,18,27
25/07/0280,18,27
26/07/0280,18,27
27/07/0280,19,27
28/07/0280,19,27
29/07/0280,19,27
30/07/0280,19,27
EndCity
EndRegion
Region,Tatooine,1900,1283,tatooine_map.png,tatooine_watermap.txt
City,Mos Eisley,1700,740,180
AddSeason,StandardTatooine_Winter
AddSeason,StandardTatooine_Spring
AddSeason,StandardTatooine_Summer
AddSeason,StandardTatooine_Autumn
01/06/0280,19,36
02/06/0280,20,36
03/06/0280,20,37
04/06/0280,20,37
05/06/0280,21,37
06/06/0280,21,37
07/06/0280,21,37
08/06/0280,21,38
09/06/0280,22,38
10/06/0280,22,38
11/06/0280,22,38
12/06/0280,22,38
13/06/0280,23,38
14/06/0280,23,39
15/06/0280,23,39
16/06/0280,23,39
17/06/0280,23,39
18/06/0280,24,39
19/06/0280,24,39
20/06/0280,24,39
21/06/0280,25,39
22/06/0280,25,39
23/06/0280,25,39
24/06/0280,25,39
25/06/0280,25,40
26/06/0280,25,40
27/06/0280,25,40
28/06/0280,25,40
29/06/0280,26,40
30/06/0280,26,40
01/07/0280,26,40
02/07/0280,26,40
03/07/0280,26,41
04/07/0280,26,41
05/07/0280,27,41
06/07/0280,27,41
07/07/0280,27,41
08/07/0280,27,41
09/07/0280,27,41
10/07/0280,27,41
11/07/0280,27,41
12/07/0280,27,42
13/07/0280,27,42
14/07/0280,27,42
15/07/0280,28,42
16/07/0280,28,42
17/07/0280,28,42
18/07/0280,28,42
19/07/0280,28,42
20/07/0280,28,42
21/07/0280,28,43
22/07/0280,28,43
23/07/0280,28,43
24/07/0280,28,43
25/07/0280,28,43
26/07/0280,28,43
27/07/0280,29,43
28/07/0280,29,43
29/07/0280,29,43
30/07/0280,29,43
EndCity
City,Jabba Palace,1400,300,340
AddSeason,NorthTatooine_Winter
AddSeason,NorthTatooine_Spring
AddSeason,NorthTatooine_Summer
AddSeason,NorthTatooine_Autumn
01/06/0280,13,27
02/06/0280,13,27
03/06/0280,14,28
04/06/0280,14,28
05/06/0280,14,28
06/06/0280,15,29
07/06/0280,15,29
08/06/0280,15,29
09/06/0280,16,30
10/06/0280,16,30
11/06/0280,16,30
12/06/0280,16,30
13/06/0280,16,30
14/06/0280,16,30
15/06/0280,17,31
16/06/0280,17,31
17/06/0280,17,31
18/06/0280,17,31
19/06/0280,17,31
20/06/0280,17,32
21/06/0280,17,32
22/06/0280,18,32
23/06/0280,18,32
24/06/0280,18,33
25/06/0280,18,33
26/06/0280,18,33
27/06/0280,18,33
28/06/0280,19,33
29/06/0280,19,34
30/06/0280,19,34
01/07/0280,19,34
02/07/0280,19,34
03/07/0280,19,34
04/07/0280,19,34
05/07/0280,20,34
06/07/0280,20,34
07/07/0280,20,35
08/07/0280,20,35
09/07/0280,20,35
10/07/0280,20,35
11/07/0280,20,35
12/07/0280,20,35
13/07/0280,21,35
14/07/0280,21,35
15/07/0280,21,35
16/07/0280,21,35
17/07/0280,21,35
18/07/0280,21,36
19/07/0280,21,36
20/07/0280,21,36
21/07/0280,21,36
22/07/0280,22,36
23/07/0280,22,36
24/07/0280,22,36
25/07/0280,22,36
26/07/0280,22,36
27/07/0280,22,36
28/07/0280,22,36
29/07/0280,22,36
30/07/0280,22,36
EndCity
City,Bestine,1174,611,650
AddSeason,StandardTatooine_Winter
AddSeason,StandardTatooine_Spring
AddSeason,StandardTatooine_Summer
AddSeason,StandardTatooine_Autumn
01/06/0280,18,36
02/06/0280,18,37
03/06/0280,18,37
04/06/0280,18,37
05/06/0280,18,38
06/06/0280,19,38
07/06/0280,19,38
08/06/0280,19,38
09/06/0280,19,39
10/06/0280,20,39
11/06/0280,20,39
12/06/0280,20,39
13/06/0280,21,39
14/06/0280,21,40
15/06/0280,21,40
16/06/0280,21,40
17/06/0280,22,40
18/06/0280,22,40
19/06/0280,22,41
20/06/0280,22,41
21/06/0280,22,41
22/06/0280,23,41
23/06/0280,23,41
24/06/0280,23,41
25/06/0280,23,42
26/06/0280,23,42
27/06/0280,23,42
28/06/0280,24,42
29/06/0280,24,42
30/06/0280,24,42
01/07/0280,24,42
02/07/0280,24,42
03/07/0280,24,42
04/07/0280,24,42
05/07/0280,24,43
06/07/0280,24,43
07/07/0280,24,43
08/07/0280,25,43
09/07/0280,25,43
10/07/0280,25,43
11/07/0280,25,43
12/07/0280,25,43
13/07/0280,25,44
14/07/0280,25,44
15/07/0280,25,44
16/07/0280,25,44
17/07/0280,26,44
18/07/0280,26,44
19/07/0280,26,44
20/07/0280,26,44
21/07/0280,26,44
22/07/0280,26,44
23/07/0280,26,44
24/07/0280,26,44
25/07/0280,26,44
26/07/0280,26,44
27/07/0280,26,45
28/07/0280,27,45
29/07/0280,27,45
30/07/0280,27,45
EndCity
City,Carnthout,1280,711,700
AddSeason,StandardTatooine_Winter
AddSeason,StandardTatooine_Spring
AddSeason,StandardTatooine_Summer
AddSeason,StandardTatooine_Autumn
01/06/0280,17,34
02/06/0280,17,34
03/06/0280,17,35
04/06/0280,17,35
05/06/0280,18,35
06/06/0280,18,35
07/06/0280,18,36
08/06/0280,18,36
09/06/0280,19,36
10/06/0280,19,36
11/06/0280,19,37
12/06/0280,19,37
13/06/0280,20,37
14/06/0280,20,37
15/06/0280,20,38
16/06/0280,20,38
17/06/0280,20,38
18/06/0280,21,38
19/06/0280,21,39
20/06/0280,21,39
21/06/0280,21,39
22/06/0280,21,40
23/06/0280,22,40
24/06/0280,22,40
25/06/0280,22,40
26/06/0280,22,40
27/06/0280,23,41
28/06/0280,23,41
29/06/0280,23,41
30/06/0280,23,41
01/07/0280,23,42
02/07/0280,23,42
03/07/0280,23,42
04/07/0280,23,42
05/07/0280,23,42
06/07/0280,24,42
07/07/0280,24,42
08/07/0280,24,42
09/07/0280,24,43
